"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FOXK1",-0.0477193268057015,0.655351527739172,-0.184989398953261,8.4914222461,-0.655873643493538,0.51598103530891,0.733764413609584,-5.93746199827676,FALSE,FALSE,"neither"
"FOXK2",-0.0186962496576673,0.857828632064326,0.0576717860346802,9.1931087089,0.219784167681986,0.827251797392995,0.914061829674396,-6.12351849483779,FALSE,FALSE,"neither"
"FOXL1",-0.420888098715496,4.46602531686769e-05,0.0974969572870299,7.2449242023,0.462649751224124,0.64633487667508,0.811191638070061,-6.04252028915988,FALSE,FALSE,"neither"
"FOXL2",-0.271878775407092,0.0129880762679054,-0.340435291810795,7.01366906165,-1.25959133591235,0.215743456555066,0.515002426668438,-5.38595361692363,FALSE,FALSE,"neither"
"FOXM1",-0.622472452451038,0.00925769057931817,0.504181136837395,6.88156173375,1.15681026194053,0.25480453040706,0.549638053713034,-5.50291937779447,FALSE,FALSE,"neither"
"FOXN1",-0.353231027979178,0.000667329823524582,-0.100648912068876,6.2551674291,-0.409093553621503,0.684838170935259,0.832609024245361,-6.06529835195522,FALSE,FALSE,"neither"
"FOXN2",0.720267074015422,2.67845621151587e-06,0.118033349055585,8.533170443325,0.387931433803961,0.700301034693964,0.840047758787688,-6.07353227131929,FALSE,FALSE,"neither"
"FOXN3",0.718127811447186,9.2231812466483e-05,0.967865673086402,9.869191356625,2.35845839214949,0.023775485790121,0.1824542151334,-3.61453585231662,FALSE,FALSE,"neither"
"FOXN4",-0.446679947773323,0.000411362799916905,-0.153532453951619,7.15640699545,-0.511998669075196,0.61171119780927,0.790729700532564,-6.01908016576004,FALSE,FALSE,"neither"
"FOXO1",0.181962405226681,0.0818001567110355,0.002809925707799,9.882417777275,0.0102188928522138,0.99190174882365,0.996910972465408,-6.14714585281679,FALSE,FALSE,"neither"
"FOXO3",-0.245487084356205,0.0089701291744719,0.0973805265603844,6.883953053525,0.427969272285239,0.671163507727685,0.825519680714461,-6.05758631448934,FALSE,FALSE,"neither"
"FOXO4",0.281235273704706,0.08954172243874,-0.461008801097031,8.994560710025,-1.23158624941352,0.225916472637995,0.524334401000693,-5.41872835476993,FALSE,FALSE,"neither"
"FOXP1",0.0141220661164265,0.909813648213328,0.511258905338315,9.062637741175,1.66127808183296,0.105146782245125,0.377691426771048,-4.8438794551411,FALSE,FALSE,"neither"
