gene,logFC,P.Value,adj.P.Val
ANGPT1,-1.80783951236546,2.14110833772276e-11,1.60610931930996e-09
DTX3L,1.4410687005027,2.23520649043434e-11,1.66946802009682e-09
TM6SF1,1.81630319347803,2.27011971543025e-11,1.68105275337501e-09
PHF11,1.42642520474788,2.28805406170014e-11,1.68712343749532e-09
COBL,1.73244704067155,2.31610844645338e-11,1.70057318475187e-09
TSC22D1,1.18591228026137,2.45879849091487e-11,1.79772406120561e-09
TLE1,1.63020170967926,2.50500399877702e-11,1.82381131473984e-09
ITGA6,1.40748667601928,2.53157475931138e-11,1.8354446623158e-09
PTGIS,-1.9471685228828,2.55852753638862e-11,1.84725688127258e-09
GALNT2,1.00604848223747,2.60289568555643e-11,1.87149279831211e-09
USP32,1.22703795383886,2.7140435191684e-11,1.93927468370197e-09
NXPE3,1.23601895668929,2.71955071641031e-11,1.93927468370197e-09
ZNF536,1.9313292897047,3.07425283205449e-11,2.17726875487305e-09
SLC16A12,2.80202055801234,3.07843285401602e-11,2.17726875487305e-09
SLC35D2,1.50765021809869,3.18695976128502e-11,2.23707375964293e-09
SHC4,1.78120115699769,3.19127515339301e-11,2.23707375964293e-09
