gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
THBS4,yellow,down,-1.85093223032382,-5.28345662962963,TRUE
THSD4,yellow,down,-1.43134023828064,-0.888559990740742,TRUE
TIGAR,turquoise,up,1.38000323287124,1.53548987037037,TRUE
TLE1,turquoise,up,1.63020170967926,0.994184851851852,TRUE
TMEM50B,turquoise,up,1.04646831742483,0.0568466666666634,TRUE
TMEM62,turquoise,up,1.12970386384426,0.710955407407409,TRUE
TMOD2,turquoise,up,2.47403164725444,0.839042592592596,TRUE
TMTC1,yellow,down,-1.61755436402159,-2.84461039814815,TRUE
TNS3,turquoise,up,1.61054483579723,0.985212740740741,TRUE
TNXB,yellow,down,-1.34131420407864,0.208371527777778,FALSE
TOM1L2,turquoise,up,1.29082887889514,1.23540609259259,TRUE
TRPM7,turquoise,up,1.00220303561912,0.260911018518518,TRUE
TSHZ2,yellow,down,-1.73826785362374,-2.68069794444444,TRUE
TSPAN5,turquoise,up,1.10119899501234,0.690455824074073,TRUE
UBLCP1,turquoise,up,1.05481811068389,1.01562844444444,TRUE
UCHL1,turquoise,up,2.03166684472244,1.48669618518519,TRUE
USP9X,turquoise,up,1.20345149508636,1.53429361111111,TRUE
UXS1,turquoise,up,1.40950337446492,0.288143787037038,TRUE
VAMP4,turquoise,up,1.08744043537625,-0.233369185185186,FALSE
VIT,yellow,down,-1.64806624716499,-4.58322259259259,TRUE
WASHC3,turquoise,up,1.2324652458936,0.140621759259259,TRUE
WASHC4,turquoise,up,1.53307573599152,0.71876398148148,TRUE
WASHC5,turquoise,up,1.01066224809946,0.819398129629629,TRUE
WBP11,turquoise,up,1.14714850096685,1.64760953703703,TRUE
WDR47,turquoise,up,1.31297143584734,0.888997259259263,TRUE
WIPI1,turquoise,up,1.46265592002236,1.81756481481481,TRUE
WSB1,turquoise,up,1.35363791430995,0.59344277777778,TRUE
WWP1,turquoise,up,1.60321199086045,1.21818996296296,TRUE
YEATS2,turquoise,up,1.14891537544796,1.04953741666667,TRUE
ZBTB20,turquoise,up,1.39218665702776,-0.160337314814816,FALSE
ZC4H2,turquoise,up,1.15552452603393,1.74459906481481,TRUE
ZFP90,turquoise,up,1.06609268571164,0.325042092592593,TRUE
ZFPM2,yellow,down,-1.33274685053431,-1.39612772222222,TRUE
ZMYND8,turquoise,up,1.03549157899923,0.725468814814814,TRUE
ZNF25,turquoise,up,1.23507355253432,0.191275037037038,TRUE
ZNF334,turquoise,up,1.00635648305937,0.938937564814816,TRUE
ZNF347,turquoise,up,2.20932388272167,1.92538538888889,TRUE
ZNF383,turquoise,up,1.00487788189515,0.216197388888888,TRUE
ZNF385D,yellow,down,-1.53457752582883,-0.990735351851852,TRUE
ZNF521,yellow,down,-1.29554074546338,-2.32216941666667,TRUE
ZNF536,turquoise,up,1.9313292897047,1.13644339814815,TRUE
ZNF845,turquoise,up,1.10759319986662,0.330451129629632,TRUE
ZNF846,turquoise,up,1.24576974445798,0.480908185185184,TRUE
ZRSR2,turquoise,up,1.2751885772714,0.337508527777779,TRUE
ZSWIM6,turquoise,up,1.05693243100771,1.56944451851852,TRUE
